id,name,price_numeric,review_scores_location
1406737243884744147,Master Room #6 near Hard Rock h4,49.0,4.82
675882576782828442,private room,49.0,4.8
18548056,HardRockCasino/Fortlauderdale airport/ room,49.0,4.79
45164564,Beautiful studio close to beaches/airport,49.0,4.79
1045777008517523503,HUGE POOL‼️ Room 1 On the River,49.0,4.78
617980217202025732,Cozy Private Suite Near Beach | Central & Peaceful,49.0,4.78
1343707582062453780,Homey and comfy.,49.0,4.76
45158815,Sunset C @ the Oasis / 3 miles to Hollywood Beach,49.0,4.75
41617322,RELAX & GET AWAY. CLOSE TO BEACHES AND AIRPORT,49.0,4.73
54023022,PoolsideStudio | Pool | Kitchen | Parking near FLL,49.0,4.69
1375343,Small House for two,49.0,4.67
1321874006403596999,Tropical Oasis: Studio w/ Pool,49.0,4.67
1045881000645077447,Everything like a hotel room.,49.0,4.67
595482857194440137,Cushy Prv Rm 15 min to Las Olas+Beaches,49.0,4.65
595510040106560506,Comfy Private Rm 15 min to Las Olas Blvd,49.0,4.64
937847659753365708,"\"Golden Sunset\" Key West Room w/ Private Bath",49.0,4.6
1314575930650158156,Modern Escape FTL - 1BR,49.0,4.57
1321881981433926786,Tropical Oasis: Studio w/ Pool,49.0,4.53
1483999813255028836,Private Room in Hollywood,50.0,5.0
957114013688499729,"Quiet, Clean and Cozy in Pembroke Pines",50.0,5.0
1247244867957850978,Amazing private bed and bath,50.0,5.0
1247287422161098325,Beautiful room with private entrance and bath,50.0,5.0
934317188870926693,Nice room available in nice apartment.,50.0,5.0
760874938029482781,Mid Century Charmer Bedroom,50.0,5.0
1421281761159781719,Studio Apartment in Hollywood FL,50.0,5.0
1456120057847570483,Tu Hogar Aquí Your Home Here,50.0,5.0
1479860980236824988,Beach Studio + Vespa & Kayaks,50.0,5.0
1407245326604024153,Happy Turquoise Hideaway,50.0,5.0
1177616061649336689,Waterfront Vintage Home Oasis: Room 1,50.0,5.0
1375787898909320865,Room Ideal for Remote Work FLL 15 min / MIA 35 Min,50.0,5.0
1421361274832602465,Private APT w/ huge Patio Hollywood/Beach Parking,50.0,5.0
1035629177187393672,Cozy Home away from home,50.0,5.0
1254613056655429950,Linda habitación cerca a playa,50.0,5.0
824957934655130341,Studio 3C near Beach,50.0,4.97
53273163,Shell on the Beach #104,50.0,4.93
874530920525053002,Private House Downtwn Hollywood/Beach Free Parking,50.0,4.92
54147622,#1 Tiny Studio with Good Parking,50.0,4.91
21978923,Private Entrance - Two-Room Suite - Close to Beach,50.0,4.9
815486642722369765,mi espacio,50.0,4.9
1024387612095500291,Private bdrm&bath/own entrance,50.0,4.89
723339451840165403,Da1) Private a  room in a luxury hostel,50.0,4.89
1340193503882645189,"Private boho room FTL, near FTL airport",50.0,4.88
19556365,Private room with private entry access,50.0,4.85
48617941,"Quiet neighborhood getaway, near downtown/airport!",50.0,4.84
708848634329209371,3 Beautiful New Apartment near the beach.,50.0,4.84
26629479,nice room with view and exit to the patio.,50.0,4.83
3553435,Private Master with  Private Bath (w/Pool Access),50.0,4.83
793237295965074371,Private Room & Bathroom - Top Rated Super Host,50.0,4.8
1322356330515416670,beautiful secure location,50.0,4.78
711644834400475308,Lovely Spacious Room in modern Home: Captivating!,50.0,4.75
1354388536470401608,Beautiful private room with private bathroom.,50.0,4.75
893661149936950315,Beautiful Studio APT W/Parking - Walk to Las Olas,50.0,4.73
600592013309929025,"Modern & Peaceful 1BR Apt, close to Pompano Beach",50.0,4.73
33550747,The Perfect 1BR Hidden Gem! w/Pool,50.0,4.72
43754122,Cozy & Private Room w/ Own Entrance Near FLL!,50.0,4.66
52757837,Harbordale Apartments #1 - Convenient Location!,50.0,4.66
834808927359773900,Небольшая комната на 1-2 персон,50.0,4.64
1256844390169401213,Travelers’s haven,50.0,4.6
833379784826146963,Comfortable Room! 5 min from FLL Airport,50.0,4.57
884847390082976446,Riverside Retreat: Ft Lauderdale,50.0,4.57
834346947918313220,Perfect Room! just 5 min from FLL Airport!,50.0,4.56
1283633662980642549,Tropical-Lakefront Room Near FLL Airport,51.0,5.0
1489230594891819538,Bohemian Hideaway / 7 Min From The Beach,51.0,5.0
1105160045831513515,(1411D) Bedroom in Pompano Beach,51.0,5.0
775896779743033490,Mid Century Charmer Private Room,51.0,5.0
739325846424239107,Comfy and relaxing private room.,51.0,5.0
1452445829551715197,Cozy Private Room,51.0,5.0
1110882521919561047,Duke's Haus - King,51.0,4.98
1386581437520779844,Comfy Room for 2 Fort Lauderdale Best Location,51.0,4.94
1369601256339370014,"Comfy Room for 2, Fort Lauderdale Best Location",51.0,4.93
9300961,"Hollywood Beach, Private Efficiency",51.0,4.93
1327042374817317599,Premium Room with Smart Bathroom +Balcony+Den,51.0,4.93
40835174,The Heart Of Wilton #1,51.0,4.92
838659675444324400,Moody Studio Near Las Olas Beach w/ Free Cleaning,51.0,4.91
1033304005726600316,Large APT Downtown Hollywood/Beach Free Parking,51.0,4.91
51297071,Cozy Private Suite in a Davie,51.0,4.9
30880734,"LUXURY STUDIO # 2, CLOSE TO THE BEACH",51.0,4.89
9822383,Great place in west Pembroke Pines.,51.0,4.89
557675371549499178,"Vibrant tropical suite near beach, shops & port",51.0,4.89
48213636,"\"New luxury 11, two blocks from the beach\"",51.0,4.88
50011864,"\"New luxury 12, two blocks from the beach\"",51.0,4.87
21799249,LRG Private Room/ Shared  bath close to FLL!,51.0,4.86
919642488614037365,"True King Bed, Open Space",51.0,4.86
53273111,Shell on the Beach #103,51.0,4.85
1210077837063241749,Best Room with Private Bathroom in Pembroke Pines,51.0,4.84
566726592509081645,Private Bed & Bath,51.0,4.83
27552571,Little Cozy Place,51.0,4.81
796881174182122344,Nice and spacious studio,51.0,4.79
678205575393774598,Studio with private entrance and king bed  #1,51.0,4.78
588229616512233251,Quiet and private apartment in Hollywood!,51.0,4.78
1400123197217242758,Tropical Paradise + Pool & PATIO!,51.0,4.75
1103956864566448784,Sweet home,51.0,4.74
25131622,Eco friendly Slice of Paradise near beach/airport,51.0,4.74
33115122,Surf Style Condo 2 Miles from the Beach !,51.0,4.63
30646605,Waterfront coastal apartment #1,51.0,4.6
1334708860546517244,Sweet Home G&A - 01 single bed,51.0,4.59
673507160710484822,NEW 2 Bed Studio close to Beach & Casino HA04,51.0,4.58
849954522852559827,2 - Private Room in Weston (near Hospital & Shops),52.0,5.0
840554432167527129,Home Away From Home,52.0,5.0
1445020648214841125,"Hollywood 1BR Studio: Pets Allowed, BBQ & Parking",52.0,5.0
1445841359546063699,Large Room w/ Private Bathroom,52.0,5.0
1435416639206077025,Lakeside King Size Private Room,52.0,5.0
1436323580470329984,D88•Budget-Friendly Spot | 5 min to Beach+parking,52.0,5.0
849955527981944537,1-Private Room in Weston (near Hospital and Shops),52.0,5.0
1313749244581032675,Charming Studio Walking Distance To Ocean - Unit 8,52.0,5.0
